Acceleration_MPerS2_1X;Acceleration_MPerS2_1Y;Acceleration_MPerS2_1Z;Acceleration_MPerS2_2X;Acceleration_MPerS2_2Y;Acceleration_MPerS2_2Z
1,05;8,86;-8,13;-4,81;14,37;-1,13
1,08;3,69;-6,78;-0,23;13,62;2,1
-0,91;4,78;-8,65;3,57;9,29;1,22
0,73;5,49;-8,02;1,51;14,01;-3,03
1,71;2,07;-2,79;1,88;5,24;-0,29
-2,25;3,87;-3,83;-5,52;4,25;-4,41
-0,11;3,74;-8,9;-6,74;16,4;-1,13
2,35;5,72;-11,8;2,77;15,28;3,19
-2,04;6,31;-10,53;3,89;9,07;-3,48
-2,36;3,81;-9,38;1,82;2,17;1,39
0,21;7,7;-10,77;-2,46;5,84;1,98
1;7,67;-7,78;-3,64;15,9;-1,85
0,97;4,6;-6,62;2,83;9,44;3,96
-0,38;5,86;-9,01;3,04;9,74;-2,13
0,86;5,37;-6,67;2,63;11,43;-3,1
0,71;3,15;-3,19;0,08;1,23;0,08
-2,13;2,84;-3,3;-7,15;7,89;-6,04
0,16;4,49;-8,66;-2,54;16,91;1,65
1,01;5,8;-12,19;4,47;12,85;1,41
-2;5,8;-9,67;4,14;4,74;-3,57
-1,43;4,92;-9,97;0,49;0,22;4,05
0,09;6,2;-10,7;-4,41;11,27;-0,93
1,23;7,19;-8,2;-0,63;13,55;0,15
0,39;4,25;-8,59;3,84;6,82;3,2
-1,54;5,35;-9,99;2,84;12,54;-4,88
1,28;5,91;-6,97;3,41;7,14;-0,45
0,71;2,62;-3,32;-2,89;1,73;-2,69
-2,57;4;-5,33;-7,15;12,82;-4,55
0,43;5,58;-10,36;1,22;15,84;3,17
0,47;6,53;-11,39;5,77;10,07;-2,61
-2,45;6,66;-9,11;2,42;1,87;-0,29
-1,54;5,83;-9,54;-2,6;4,1;2,53
0,03;8,32;-9,89;-3,82;15,69;-2,36
1,35;6,19;-7,51;0,91;10,33;4,67
-0,87;4,06;-8,35;2,83;8,95;0,37
-1,76;6,77;-9,28;3,05;14,29;-3,78
1,76;3,95;-5,52;1,27;3,99;1,23
-0,99;2,75;-2,99;-6,23;6,91;-4,95
-2,82;5,09;-5,69;-4,64;17,9;-0,45
1,21;5,35;-10,29;3,73;15,11;1,77
-0,57;7,87;-10,7;3,47;9,45;-4,18
-3,14;7,16;-8,46;1,01;2,28;3,36
-1,11;6,21;-8,85;-2,5;9,81;0,06
0,65;8,74;-8,84;-4,09;18,36;-0,91
1,38;5,76;-6,94;1,68;9,72;5,58
-0,62;4,43;-7,41;2,83;13,28;-2,2
-0,81;5,52;-7,75;2,03;11,82;-0,13
1,48;3,13;-3,78;-1,49;2,37;-0,64
-1,4;4;-2,56;-8,77;13,52;-4,39
-1,82;4,67;-6,71;-1,98;18,1;4,79
1,58;4,57;-9,59;4,86;11,89;-1,19
-1,01;6,77;-9,69;2,64;5,28;-1,81
-2,75;6,23;-8,47;0,97;2,19;4,86
-0,57;6,27;-8,93;-4,55;15,24;-2,41
1,29;7,27;-8,73;-1,93;14,21;2,3
2,02;4,45;-6,66;3,13;6,82;1,85
-0,61;3,41;-8,17;1,43;14,29;-4,08
0,26;5,03;-7,38;2,35;6,62;1,76
2,02;3,28;-3,29;-5,11;4,21;-3,85
-2,09;2,72;-3,85;-7,53;16,09;-2,47
-0,57;4,08;-7,74;2,22;14,75;3,26
2,25;4,36;-11,41;3,84;9,39;-3,26
-1,69;6,5;-10,03;3,3;1,74;1,55
-2,31;6,36;-8,2;-1,59;6,14;1,6
-0,46;6,89;-11,03;-4,96;16,89;-1,92
1,19;7,82;-9,36;1,72;7,85;3,52
1,93;3,27;-6,87;2,43;9,12;-2,18
-0,87;4,79;-8,92;3,76;12,18;-2,49
0,28;6,8;-7,11;1,18;1,75;-0,52
1,68;3,05;-3,38;-8,6;8,97;-5,85
-1,9;3,98;-4,86;-3,42;15,81;0,99
-0,5;4,19;-9,53;4,24;11,39;0,3
1,74;4,64;-11,52;4,11;5,59;-2,95
-1,61;6,27;-9,49;2,02;0,91;3,69
-2,5;5,45;-9,48;-3,58;11,46;-1,27
0,14;7,51;-11,13;-1,18;13,06;0,02
2,06;6,73;-8,56;3,33;5,98;3,08
0,66;4;-7,71;2,78;12,79;-4,58
-1,46;5,48;-9,98;3,95;7,15;-0,88
0,81;5,16;-6,11;-2,91;1,78;-2,3
0,56;3,79;-2,99;-7,51;13,34;-3,86
-2,48;4,04;-7,04;0,77;14,73;3,43
-0,18;4,43;-10,34;4,18;9,24;-3,06
0,5;5,75;-11,07;2,91;2,51;-0,8
-2,31;6,4;-9,53;-0,36;3,78;3,92
-1,98;6,7;-9,21;-4,27;15,51;-2,24
-0,03;8,42;-10,59;-0,02;10,42;3,79
1,75;7,36;-8,02;2,47;8,37;0,01
0,14;4,37;-8,44;2,98;14,06;-4,51
-1,95;4,87;-8,92;2,56;3,51;2,29
0,72;5,32;-2,82;-6,14;7,02;-4,69
-0,2;4,66;-2,43;-5,75;18,79;-1,12
-2,57;4,59;-6,94;2,87;14,13;2,62
0,43;4,71;-9,6;3,33;7,85;-4,29
-0,3;6,87;-10,22;0,97;3,42;3,66
-3,07;7,29;-7,46;-2,66;11,54;0,48
-1,77;6,6;-8,77;-2,9;18,13;-1,45
-0,13;8,64;-10,37;1,28;9,28;5,98
1,35;6,93;-7,37;2,24;12,75;-2,9
-0,64;3,85;-8,32;3,38;11,99;-0,55
-1,95;4,62;-7,64;-0,98;2,71;0,62
1,36;4,01;-2,97;-7,58;12,16;-4,54
-0,73;3,66;-2,52;-2,5;18,13;4,32
-1,62;4,41;-6,37;3,95;11,4;-1,25
2,35;4,42;-11,1;3,84;3,9;-1,91
-0,45;6,15;-10,16;0,02;3,41;5,29
-2,84;6,11;-7,03;-4,29;15,53;-2,51
-0,73;6,33;-8,95;-1,57;14,36;2,73
1,17;8,48;-9,16;2,6;8,24;2,56
2,39;5,3;-7,63;1,93;14,49;-4,54
-0,82;3,06;-8,44;0,63;6,59;1,69
-0,71;5,17;-6,56;-3,25;4,25;-3,88
2,01;3,9;-2,41;-5,84;17,07;-2,39
-1,93;3,17;-2,72;0,01;15,19;3,76
-1,1;4,33;-8,16;5,28;8,01;-3,86
2,16;4,61;-11,91;2,66;1,6;1,67
-1,48;5,89;-9,7;-2,71;6,25;2,63
-1,89;5,7;-7,84;-3,55;17,12;-1,82
-0,35;6,56;-10,38;1,01;8,41;3,49
0,9;8,67;-10,15;3,07;8,64;-2,64
2,82;5,43;-8,06;2,33;13,09;-2,53
-0,35;3,7;-9,71;-0,26;1,87;0,26
-0,06;5,2;-7,44;-5,55;7,77;-5,96
1,88;3,52;-2,57;-2,31;17,36;0,96
-2,14;3,63;-4,74;4,19;12,4;0,03
-0,4;4,65;-9,33;3,08;5,13;-3,46
2,12;5,03;-11,6;0,93;0,56;4,42
-1,87;6,3;-10,06;-2,23;10,68;-1,24
-2,42;5,46;-7,72;-1,55;14,93;-0,65
